TEAM_NAME,FG2A,SEASON
Atlanta Hawks,64.39999999999999,2003-04
Boston Celtics,58.7,2003-04
Chicago Bulls,67.10000000000001,2003-04
Cleveland Cavaliers,72.80000000000001,2003-04
Dallas Mavericks,70.4,2003-04
Denver Nuggets,70.5,2003-04
Detroit Pistons,65.2,2003-04
Golden State Warriors,63.800000000000004,2003-04
Houston Rockets,58.4,2003-04
Indiana Pacers,61.49999999999999,2003-04
Los Angeles Clippers,67.7,2003-04
Los Angeles Lakers,67.80000000000001,2003-04
Memphis Grizzlies,65.2,2003-04
Miami Heat,61.8,2003-04
Milwaukee Bucks,67.1,2003-04
Minnesota Timberwolves,69.19999999999999,2003-04
New Jersey Nets,64.0,2003-04
New Orleans Hornets,60.2,2003-04
New York Knicks,65.80000000000001,2003-04
Orlando Magic,67.3,2003-04
Philadelphia 76ers,64.2,2003-04
Phoenix Suns,66.7,2003-04
Portland Trail Blazers,65.5,2003-04
Sacramento Kings,63.5,2003-04
San Antonio Spurs,64.6,2003-04
Seattle SuperSonics,56.800000000000004,2003-04
Toronto Raptors,61.60000000000001,2003-04
Utah Jazz,65.7,2003-04
Washington Wizards,64.5,2003-04
Atlanta Hawks,69.5,2004-05
Boston Celtics,64.10000000000001,2004-05
Charlotte Bobcats,72.89999999999999,2004-05
Chicago Bulls,62.900000000000006,2004-05
Cleveland Cavaliers,70.5,2004-05
Dallas Mavericks,66.1,2004-05
Denver Nuggets,69.2,2004-05
Detroit Pistons,65.5,2004-05
Golden State Warriors,64.19999999999999,2004-05
Houston Rockets,59.8,2004-05
Indiana Pacers,56.0,2004-05
Los Angeles Clippers,69.5,2004-05
Los Angeles Lakers,58.699999999999996,2004-05
Memphis Grizzlies,58.4,2004-05
Miami Heat,62.300000000000004,2004-05
Milwaukee Bucks,68.9,2004-05
Minnesota Timberwolves,66.8,2004-05
New Jersey Nets,63.599999999999994,2004-05
New Orleans Hornets,64.0,2004-05
New York Knicks,65.4,2004-05
Orlando Magic,70.3,2004-05
Philadelphia 76ers,64.39999999999999,2004-05
Phoenix Suns,60.89999999999999,2004-05
Portland Trail Blazers,64.1,2004-05
Sacramento Kings,68.1,2004-05
San Antonio Spurs,61.7,2004-05
Seattle SuperSonics,57.0,2004-05
Toronto Raptors,60.7,2004-05
Utah Jazz,67.5,2004-05
Washington Wizards,64.60000000000001,2004-05
Atlanta Hawks,65.10000000000001,2005-06
Boston Celtics,61.39999999999999,2005-06
Charlotte Bobcats,68.1,2005-06
Chicago Bulls,64.2,2005-06
Cleveland Cavaliers,60.300000000000004,2005-06
